Invoice number,Callsign,Departure,IATA,Arrival,IATA.1,FLIGHTDATE,AC Type,Registration,Total Bill,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,FLIGHT_TYPE,Reg_Clean,MTOW_in_KGs,MTOW_Tonnes,CALCULATED_CHARGE,TOTAL_BILL_NUM,STATUS
Over Fly- 9054,AIC2249,VABB,BOM,OEDF,DMM,28-Oct-25,A20N,VTTQD,350.0,,,,,,,,,,,,Without landing rate,VTTQD,77000.0,77.0,350.0,350.0,Matched
Over Fly- 9054,AIC969,VABB,BOM,OTHH,DOH,29-Oct-25,A20N,VTTQJ,180.0,,,,,,,,,,,,With landing,VTTQJ,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2284,OTHH,DOH,VIDP,DEL,30-Oct-25,A20N,VTTQA,180.0,,,,,,,,,,,,With landing,VTTQA,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2289,VABB,BOM,OTHH,DOH,13-Oct-25,A20N,VTTNX,180.0,,,,,,,,,,,,With landing,VTTNX,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC970,OTHH,DOH,VABB,BOM,02-Oct-25,A20N,VTTQH,180.0,,,,,,,,,,,,With landing,VTTQH,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC970,OTHH,DOH,VABB,BOM,11-Oct-25,A20N,VTTNP,180.0,,,,,,,,,,,,With landing,VTTNP,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2283,VIDP,DEL,OTHH,DOH,29-Oct-25,A20N,VTTNP,180.0,,,,,,,,,,,,With landing,VTTNP,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2283,VIDP,DEL,OTHH,DOH,30-Oct-25,A20N,VTTQA,180.0,,,,,,,,,,,,With landing,VTTQA,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2283,VIDP,DEL,OTHH,DOH,31-Oct-25,A20N,VTTNR,180.0,,,,,,,,,,,,With landing,VTTNR,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2284,OTHH,DOH,VIDP,DEL,27-Oct-25,A20N,VTTNP,180.0,,,,,,,,,,,,With landing,VTTNP,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC2289,VABB,BOM,OTHH,DOH,01-Oct-25,A20N,VTTNR,180.0,,,,,,,,,,,,With landing,VTTNR,77000.0,77.0,180.0,180.0,Matched
Over Fly- 9054,AIC935,VABB,BOM,OEDF,DMM,25-Oct-25,A20N,VTTQH,350.0,,,,,,,,,,,,Without landing rate,VTTQH,77000.0,77.0,350.0,350.0,Matched
Over Fly- 9054,AIC936,OEDF,DMM,VABB,BOM,25-Oct-25,A20N,VTTQH,350.0,,,,,,,,,,,,Without landing rate,VTTQH,77000.0,77.0,350.0,350.0,Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
,,,,,,,,,,,,,,,,,,,,,Without landing rate,,,,,,Not Matched
