Invoice No,"Line number
reference","Item
Description","Billing
Reference",Date,Time,"Aircraft
ID","Flight
Number","Origin
Code",Dest. Code,Entry Point,Exit Point,"Distance
Km","Aircraft
Type","Weight
Factor","Distance
Factor","Flight
Type","En-Route
Charge",Approach Charge,"Flight Total
Charge","Item Subtotal
Including VAT"
502012523021670,89,"Landings -
12911737",12911737,10-Jun-25,0.786111,VTCID,AJC991,VIDP,OEJN,PEKEM,OEJN,1514,A320,1.26,15.14,s,2251.02,252,2503.02,2503.02
502012523021670,90,"Landings -
12911903",12911903,10-Jun-25,0.789201,VTCIN,AIC938,OEJN,VABB,OEJN,MIDGU,1675,A320,1.26,16.75,s,2490.39,0,2490.39,2490.39
502012523021670,91,"Landings -
12911954",12911954,10-Jun-25,0.814954,VTEXL,AIC932,OEJN,VABB,OEJN,MIDGU,I 675.00,A320,1.26,16.75,s,2490.39,0,2490.39,2490.39
502012523021670,92,"Landings -
12911970",12911970,10-Jun-25,0.849722,VTCID,AIC992,OEJN,VIDP,OEJN,DAROR,1247,A320,1.26,12.47,s,1854.04,0,1854.04,1854.04
502012523021670,93,"Landings -
12911943",12911943,10-Jun-25,0.857118,VTEXS,AIC936,OEDF,VABB,OEDF,LADNA,58,A320,1.26,0.58,s,86.23,0,86.23,86.23
502012523021670,94,"Landings -
12912542",12912542,11-Jun-25,0.09375,VTEXT,AIC921,VABB,OERK,PEKEM,OERK,760,A320,1.26,7.6,s,1129.97,252,1.381.97,1381.97
502012523021670,95,"Landings -
12912852",12912852,11-Jun-25,0.171956,VTEXT,AIC922,OERK,VABB,OERK,MIDGU,926,A320,1.26,9.26,s,1376.78,0,1376.78,1376.78
502012523021670,96,"Landings -
12914213",12914213,11-Jun-25,0.681944,VTCIO,AIC991,VIDP,OEJN,PEKEM,OEJN,1514,A320,1.26,15.14,s,2251.02,252,2.503.02,2503.02
502012523021670,97,"Landings -
12914386",12914386,11-Jun-25,0.74375,VTCIH,AJC931,VABB,OEJN,PEKEM,OEJN,1514,A320,1.26,15.14,s,2251.02,252,2503.02,2503.02
502012523021670,98,"Landings -
12914549",12914549,11-Jun-25,0.751204,VTCIO,AIC992,OEJN,VIDP,OEJN,MJDGU,1675,A320,1.26,16.75,s,2490.39,0,2490.39,2490.39
