Invoice No,Flight Number,Aircraft ID,Origin Code,Dest. Code,Distance Km,MTOW_Tonnes,Calc_Weight_Factor,Calculated_Charge,Vendor_Charge,Status
502012523021670,AICl88,VTALO,CYYZ,VIDP,1441.0,351.534,2.65,4506.01,4506.01,Matched
502012523021670,AICl92,VTJRH,KJFK,VIDP,1441.0,280.0,2.37,4029.9,4063.91,Not Matched
502012523021670,AJCl69,VTNAA,VIAR,EGKK,1538.0,227.93,2.14,3883.76,3883.76,Matched
502012523021670,AJC2017,VTTSH,VIDP,EGLL,1538.0,247.207,2.22,4028.94,4083.39,Not Matched
502012523021670,AJC2027,VTTSQ,VABB,EDDF,1538.0,252.65,2.25,4083.39,4083.39,Matched
502012523021670,AICl31,VTAEO,VABB,EGLL,1538.0,351.534,2.65,4809.33,4809.33,Matched
502012523021670,AIC925,VTEXM,VIDP,OERK,389.0,79.0,1.26,578.37,830.37,Not Matched
502012523021670,AICl51,VTANH,VIDP,LSZH,1538.0,227.93,2.14,3883.76,3883.76,Matched
502012523021670,AIC2015,VTANY,VIDP,EGLL,1538.0,227.93,2.14,3883.76,3883.76,Matched
502012523021670,AIC926,VTEXM,OERK,VIDP,400.0,79.0,1.26,594.72,594.72,Matched
502012523021670,AICl62,VTJRE,EGLL,VIDP,1441.0,280.0,2.37,4029.9,4063.91,Not Matched
502012523021670,AIC153,VTANJ,VIDP,LOWW,1538.0,227.93,2.14,3883.76,,Not Matched
502012523021670,AJCll7,VTANX,VIAR,EGBB,1538.0,227.93,2.14,3883.76,3883.76,Matched
502012523021670,AIC\57,VTANV,VIDP,EKCH,1538.0,227.93,2.14,3883.76,3883.76,Matched
502012523021670,AJCl52D,VTANA,LSZH,VIDP,1441.0,227.93,2.14,3638.81,3638.81,Matched
502012523021670,AIC937,VTCIN,VABB,OEJN,1514.0,79.0,1.26,2251.02,2503.02,Not Matched
502012523021670,AIC2026,VTTSP,EDDF,VIDP,1441.0,247.207,2.22,3774.84,3825.86,Not Matched
502012523021670,AICl28,VTAEM,EGLL,VABB,1480.0,351.534,2.65,4627.96,4627.96,Matched
502012523021670,AIC931,VTEXJ,VABB,OEJN,1514.0,79.0,1.26,2251.02,2503.02,Not Matched
502012523021670,AJC991,VTCID,VIDP,OEJN,1675.0,79.0,1.26,2490.39,2742.39,Not Matched
502012523021670,AICl30D,VTAEN,LOWW,VABB,1441.0,351.534,2.65,4506.01,4506.01,Matched
502012523021670,AICll2,VTJRB,EGLL,VIDP,1441.0,280.0,2.37,4029.9,4063.91,Not Matched
502012523021670,AIC935,VTTNW,VABB,OEDF,36.0,77.0,1.24,52.68,305.52,Not Matched
502012523021670,AIC992,VTCID,OEJN,VIDP,,79.0,1.26,,2490.39,Not Matched
502012523021670,AIC938,VTCIN,OEJN,VABB,1675.0,79.0,1.26,2490.39,2490.39,Matched
502012523021670,AIC932,VTEXJ,OEJN,VABB,1675.0,79.0,1.26,2490.39,2490.39,Matched
502012523021670,AICl37,VTANN,VIDP,LIMC,1538.0,227.93,2.14,3883.76,3883.76,Matched
502012523021670,AIC936,VTTNW,OEDF,VABB,58.0,77.0,1.24,84.87,86.23,Not Matched
502012523021670,AIC148,VTANS,LFPG,VIDP,1441.0,227.93,2.14,3638.81,,Not Matched
502012523021670,AJCl61,VTJRH,VlDP,EGLL,1538.0,280.0,2.37,4301.17,4337.47,Not Matched
502012523021670,AIC2028,VTTSQ,EDDF,VAB8,1421.0,252.65,2.25,3772.76,3772.76,Matched
502012523021670,AICl52,VTANH,LSZH,VIDP,1441.0,227.93,2.14,3638.81,,Not Matched
502012523021670,AICl27,VTALN,VIDP,LOWW,1538.0,351.534,2.65,4809.33,4809.33,Matched
502012523021670,AIC2018,VTTSl,EGLL,VIDP,1441.0,,,,3825.86,Not Matched
502012523021670,AICl46,VTNAA,EGKK,VOGA,1484.0,227.93,2.14,3747.4,3747.4,Matched
502012523021670,AICll6,VTAER,KJFK,VABB,1484.0,351.534,2.65,4640.47,4640.47,Matched
502012523021670,AJCl87,VTALJ,VIDP,LOWW,1538.0,351.534,2.65,4809.33,4809.33,Matched
502012523021670,AIC921,VTEXN,VABB,OERK,373.0,79.0,1.26,554.58,806.58,Not Matched
502012523021670,AJCl54,VTANJ,LOWW,VIDP,1441.0,227.93,2.14,3638.81,3638.81,Matched
502012523021670,AICl30,VTAEO,EGLL,VABB,1441.0,351.534,2.65,4506.01,4506.01,Matched
502012523021670,AICI0I,VTJRF,VIDP,KJFK,,280.0,2.37,,4337.47,Not Matched
502012523021670,AIC2016,VTANY,EGLL,VIDP,1441.0,227.93,2.14,3638.81,,Not Matched
502012523021670,AICI06,VTJRA,KEWR,VIDP,1441.0,280.0,2.37,4029.9,4063.91,Not Matched
502012523021670,AICll9,VTAEM,VABB,KJFK,1538.0,351.534,2.65,4809.33,4809.33,Matched
502012523021670,AIC922,VTEXN,OERK,VABB,926.0,79.0,1.26,1376.78,1376.78,Matched
502012523021670,AICIII,VTJRE,VJDP,EGLL,1538.0,280.0,2.37,4301.17,4337.47,Not Matched
502012523021670,AICl29D,VTAEN,VABB,EGLL,1538.0,351.534,2.65,4809.33,4809.33,Matched
502012523021670,AICl58D,VTANV,EKCH,VIDP,1441.0,227.93,2.14,3638.81,3638.81,Matched
502012523021670,AICl02,VTJRJ,KJFK,VIDP,1441.0,,,,4063.91,Not Matched
502012523021670,AICl89D,VTALX,VIDP,LOWW,1538.0,351.534,2.65,4809.33,4809.33,Matched
502012523021670,AIC2025,VTTSP,VIDP,EDDF,1538.0,247.207,2.22,4028.94,4083.39,Not Matched
502012523021670,AICl47D,VTTSE,VIDP,LFPG,1538.0,247.207,2.22,4028.94,4083.39,Not Matched
502012523021670,AICl26,VTALR,KORD,VIDP,1421.0,351.534,2.65,4443.47,4443.47,Matched
502012523021670,AICI03D,VTANI,VIDP,LOWW,1538.0,227.93,2.14,3883.76,3883.76,Matched
502012523021670,AJC114,VTANX,EGBB,VIDP,1441.0,227.93,2.14,3638.81,3638.81,Matched
502012523021670,AJC138D,VTANN,LIMC,VIDP,1441.0,227.93,2.14,3638.81,3638.81,Matched
502012523021670,AICl88,VTALU,CVYZ,VIDP,1441.0,351.534,2.65,4506.01,4506.01,Matched
502012523021670,AIC104,VTNAC,KIAD,VIDP,1441.0,227.93,2.14,3638.81,,Not Matched
502012523021670,AICl55,VTANA,VIDP,EHAM,1538.0,227.93,2.14,3883.76,3883.76,Matched
502012523021670,AIC2027,VTTSQ,VABB,EDDF,1538.0,252.65,2.25,4083.39,4083.39,Matched
502012523021670,AICl31,VTAER,VABB,EGLL,1538.0,351.534,2.65,4809.33,4809.33,Matched
502012523021670,AIC2017,VTTSO,VIDP,EGLL,1538.0,247.207,2.22,4028.94,4083.39,Not Matched
502012523021670,AIC2029,VTTSH,VJDP,EDDF,1538.0,247.207,2.22,4028.94,4083.39,Not Matched
502012523021670,AJCl90,VTALM,CYYZ,VIDP,1441.0,351.534,2.65,4506.01,4506.01,Matched
502012523021670,AIC\33,VTANU,VOBL,EGLL,2165.0,227.93,2.14,5467.06,5467.06,Matched
502012523021670,AICl62,VTJRH,EGLL,VIDP,1441.0,280.0,2.37,4029.9,4063.91,Not Matched
502012523021670,AICl53,VTTSN,VIDP,LOWW,1538.0,247.207,2.22,4028.94,4083.39,Not Matched
502012523021670,AIC925,VTEXO,VIDP,OERK,760.0,79.0,1.26,1129.97,1381.97,Not Matched
502012523021670,AICl51,VTANl,VIDP,LSZH,1538.0,,,,3883.76,Not Matched
502012523021670,AICl45,VTANK,YOGA,EGKK,1538.0,227.93,2.14,3883.76,3883.76,Matched
502012523021670,AJCl69,VTANS,VIAR,EGKK,1538.0,227.93,2.14,3883.76,3883.76,Matched
502012523021670,AIC926,VTEXO,OERK,VIDP,400.0,79.0,1.26,594.72,594.72,Matched
502012523021670,AICll3,VTANV,VIDP,EGBB,1538.0,227.93,2.14,3883.76,3883.76,Matched
502012523021670,AICl57,VTANW,VIDP,EKCH,1538.0,227.93,2.14,3883.76,3883.76,Matched
502012523021670,AIC112,VTJRE,EGLL,VIDP,1441.0,280.0,2.37,4029.9,4063.91,Not Matched
502012523021670,AIC2026,VTTSP,EDDF,VIDP,1441.0,247.207,2.22,3774.84,3825.86,Not Matched
502012523021670,AIC931,VTCIP,VABB,OEJN,1514.0,79.0,1.26,2251.02,2503.02,Not Matched
502012523021670,AICl48,VTTSE,LFPG,VIDP,1502.0,247.207,2.22,3934.64,3987.81,Not Matched
502012523021670,AIC991,VTEXL,VIDP,OEJN,1241.0,79.0,1.26,1845.12,2097.12,Not Matched
502012523021670,AIC128,VTAEN,EGLL,VABB,1484.0,351.534,2.65,4640.47,4640.47,Matched
502012523021670,AJC932,VTCIP,OEJN,VABB,1675.0,79.0,1.26,2490.39,,Not Matched
502012523021670,AIC992,VTEXL,OEJN,VJDP,1247.0,79.0,1.26,1854.04,1854.04,Matched
502012523021670,AICll9,VTAEO,VABB,KJFK,1538.0,351.534,2.65,4809.33,4809.33,Matched
502012523021670,AICI05,VTJRJ,VIDP,KEWR,1538.0,,,,4337.47,Not Matched
502012523021670,AIC935,VTTQI,VABB,OEDF,36.0,77.0,1.24,52.68,305.52,Not Matched
502012523021670,AIC2028,VTTSQ,EDDF,VABB,1441.0,252.65,2.25,3825.86,3825.86,Matched
502012523021670,AICl56,VTANA,EHAM,VIDP,1441.0,227.93,2.14,3638.81,,Not Matched
