Invoice Number,Ident,Reg,Dist.,tonn,Amount,Mapped_Unit_Rate,Calculated_Amount,Status
4AIC-453,AIC118,VTANW,1161.0,220.0,975.24,84.0,975.24,Matched
4AIC-453,AIC137,VTANZ,1172.0,220.0,984.48,84.0,984.48,Matched
4AIC-453,AIC138,VTANZ,1161.0,220.0,975.24,84.0,975.24,Matched
4AIC-453,AIC142,VTANX,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC143,VTANX,1172.0,220.0,984.48,84.0,984.48,Matched
4AIC-453,AIC147,VTANP,1172.0,220.0,984.48,84.0,984.48,Matched
4AIC-453,AIC148,VTANP,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC151,VTANH,1172.0,220.0,984.48,84.0,984.48,Matched
4AIC-453,AIC152,VTANH,1161.0,220.0,975.24,84.0,975.24,Matched
4AIC-453,AIC156,VTANO,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC158,VTANA,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC162,VTJRA,1221.0,280.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC169,VTANS,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC170,VTANS,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC2016,VTTSN,1221.0,247.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC2017,VTTSH,1143.0,247.0,960.12,84.0,960.12,Matched
4AIC-453,AIC2018,VTTSP,1143.0,247.0,960.12,84.0,960.12,Matched
4AIC-453,AIC2025,VTTSO,1225.0,247.0,1029.0,84.0,1029.0,Matched
4AIC-453,AIC2026,VTTSO,1221.0,247.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC2029,VTTSP,1151.0,247.0,966.84,84.0,966.84,Matched
4AIC-453,AIC2030,VTTSP,1161.0,247.0,975.24,84.0,975.24,Matched
4AIC-453,AUV141,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
4AIC-453,AUV142,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
4AIC-453,AIC111,VTJRF,1151.0,280.0,966.84,84.0,966.84,Matched
4AIC-453,AIC112,VTJRF,1221.0,280.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC117,VTANW,1151.0,220.0,966.84,84.0,966.84,Matched
4AIC-453,AIC137,VTANY,1143.0,220.0,960.12,84.0,960.12,Matched
4AIC-453,AIC142,VTANA,1179.0,220.0,990.36,84.0,990.36,Matched
4AIC-453,AIC143,VTANA,1143.0,220.0,960.12,84.0,960.12,Matched
4AIC-453,AIC147,VTANJ,1151.0,220.0,966.84,84.0,966.84,Matched
4AIC-453,AIC148,VTANJ,1221.0,220.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC153,VTANX,1161.0,220.0,975.24,84.0,975.24,Matched
4AIC-453,AIC154,VTANX,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC155,VTANZ,1143.0,220.0,960.12,84.0,960.12,Matched
4AIC-453,AIC156,VTANZ,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC161,VTJRA,1212.0,280.0,1018.08,84.0,1018.08,Matched
4AIC-453,AIC162,VTJRA,1221.0,280.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC2015,VTTSD,1161.0,250.0,975.24,84.0,975.24,Matched
4AIC-453,AIC2017,VTTSH,1143.0,247.0,960.12,84.0,960.12,Matched
4AIC-453,AIC2018,VTTSH,1161.0,247.0,975.24,84.0,975.24,Matched
4AIC-453,AIC2029,VTTSN,1143.0,247.0,960.12,84.0,960.12,Matched
4AIC-453,AIC2030,VTTSN,1161.0,247.0,975.24,84.0,975.24,Matched
4AIC-453,AUV141,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
4AIC-453,AUV142,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
4AIC-453,AIC111,VTJRF,1151.0,280.0,966.84,84.0,966.84,Matched
4AIC-453,AIC112,VTJRF,1161.0,280.0,975.24,84.0,975.24,Matched
4AIC-453,AIC113,VTANC,1172.0,220.0,984.48,84.0,984.48,Matched
4AIC-453,AIC114,VTANW,1168.0,220.0,981.12,84.0,981.12,Matched
4AIC-453,AIC137,VTANW,1143.0,220.0,960.12,84.0,960.12,Matched
4AIC-453,AIC138,VTANY,1161.0,220.0,975.24,84.0,975.24,Matched
4AIC-453,AIC142,VTANX,1143.0,220.0,960.12,84.0,960.12,Matched
4AIC-453,AIC143,VTANX,1172.0,220.0,984.48,84.0,984.48,Matched
4AIC-453,AIC147,VTANV,1151.0,220.0,966.84,84.0,966.84,Matched
4AIC-453,AIC148,VTANV,1161.0,220.0,975.24,84.0,975.24,Matched
4AIC-453,AIC151,VTANY,1151.0,220.0,966.84,84.0,966.84,Matched
4AIC-453,AIC152,VTANY,1143.0,220.0,960.12,84.0,960.12,Matched
4AIC-453,AIC155,VTANZ,1143.0,220.0,960.12,84.0,960.12,Matched
4AIC-453,AIC156,VTANZ,1143.0,220.0,960.12,84.0,960.12,Matched
4AIC-453,AIC158,VTANJ,1143.0,220.0,960.12,84.0,960.12,Matched
4AIC-453,AIC161,VTJRE,1228.0,280.0,1031.52,84.0,1031.52,Matched
4AIC-453,AIC162,VTJRE,1221.0,280.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC169,VTANA,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC2016,VTTSD,1143.0,250.0,960.12,84.0,960.12,Matched
4AIC-453,AIC2017,VTTSH,1172.0,247.0,984.48,84.0,984.48,Matched
4AIC-453,AIC2018,VTTSH,1161.0,247.0,975.24,84.0,975.24,Matched
4AIC-453,AIC2025,VTTSE,1225.0,250.0,1029.0,84.0,1029.0,Matched
4AIC-453,AIC2026,VTTSE,1161.0,250.0,975.24,84.0,975.24,Matched
4AIC-453,AIC2029,VTTSN,1143.0,247.0,960.12,84.0,960.12,Matched
