Line #,Flight Date Time,Flt. #,Acft. Reg.,Acft. Type Code,Location Code @ Type,,Flt. Info. Rgn.,Max. Take Off Weight @UOM,Route Date Time @ Type,,Weight Factor,"WP
Code",Distance @ UOM,,Quantity,Unit Price,Charge Amount,
20,"2025-09-01
06:58",AIC1 32,VTNAC,B788,"EGLL  @  Origin
VOBL  @  Destination",,"0
0",228.0000  @ TON,"2025-09-02  04:12  @  Entry
2025-09-02  21:10  @  Exit",,1.7100,MESPO PARAR,"424.000  @  KM
424.000  @  KM",,1.0000,227.23,227.23,
20,"2025-09-01
07:36",AIC1 02,VTJRE,A359,"KJFK  @  Origin
VIDP  @  Destination",,"0
0","280.0000  @
TON","2025-09-02  04:47  @  Entry
2025-09-02  16:40  @  Exit",,1.8000,TONVO RASKI,"779.000  @  KM
779.000  @  KM",,1.0000,439.45,439.45,
20,"2025-09-01
07:44","AIC9
22",VTRTT,A20N,"VABB  @  Destination
OERK  @  Origin",,"0
0","79.0000  @
TON","2025-09-01  04:15  @  Exit
2025-09-01  05:28  @  Entry",,1.2200,"PARAR
MIDGU","797.000  @  KM
797.000  @  KM",,1.0000,304.73,304.73,
20,"2025-09-01
08:39","AIC1
88",VTALJ,B77W,"CYYZ  @  Origin
VIDP  @  Destination",,"0
0","352.0000  @
TON","2025-09-02  05:51  @  Entry
2025-09-02  17:10  @  Exit",,1.9500,"TONVO
RASKI","779.000  @  KM
779.000  @  KM",,1.0000,476.07,476.07,
20,"2025-09-01
08:45","AIC1
29",VTAEN,B77W,"VABB  @  Origin
EGLL  @  Destination",,"0
0","352.0000  @
TON","2025-09-02  01:30  @  Entry
2025-09-02  23:35  @  Exit",,1.9500,"PARAR
MENSA","726.000  @  KM
726.000  @  KM",,1.0000,443.68,443.68,
20,"2025-09-01
09:56",AIC1 11,VTTSE,B789,"VIDP  @  Origin
EGLL  @  Destination",,"0
0","255.0000  @
TON","2025-09-01  02:42  @  Entry
2025-09-01  00:30  @  Exit",,1.7100,RASKI MENSA,"774.000  @  KM
774.000  @  KM",,1.0000,414.80,414.80,
20,"2025-09-01
10:39",AIC1 26,VTALN,B77W,"VIDP  @  Destination
KORD  @  Origin",,"0
0","352.0000  @
TON","2025-09-02  18:10  @  Exit
2025-09-02  08:26  @  Entry",,1.9500,RASKI MESPO,"453.000  @  KM
453.000  @  KM",,1.0000,276.84,276.84,
20,"2025-09-01
11:02","AIC2
208",VTTSN,B789,"VIDP  @  Destination
OMDB  @  Origin",,"0
0","255.0000  @
TON","2025-09-01  07:20  @  Exit
2025-09-01  08:11  @  Entry",,1.7100,"RASKI
LALDO","799.000  @  KM
799.000  @  KM",,1.0000,428.20,428.20,
20,"2025-09-01
11:09","AIC9
10",VTANP,B788,"OMDB  @  Origin
VABB  @  Destination",,"0
0","228.0000  @
TON","2025-09-01  08:45  @  Entry
2025-09-01  07:30  @  Exit",,1.7100,"GOMTA
PARAR","747.000  @  KM
747.000  @  KM",,1.0000,400.33,400.33,
20,"2025-09-01
12:53",AIC9 18,VTANY,B788,"VIDP  @  Destination
OMDB  @  Origin",,"0
0","228.0000  @
TON","2025-09-01  09:40  @  Exit
2025-09-01  10:02  @  Entry",,1.7100,RASKI LALDO,"799.000  @  KM
799.000  @  KM",,1.0000,428.20,428.20,
20,"2025-09-01
14:38","AIC9
34",VTEXP,A20N,"VOCI  @  Destination
OMDB  @  Origin",,"0
0","77.0000  @
TON","2025-09-01  10:45  @  Exit
2025-09-01  11:09  @  Entry",,1.2200,"LOTAV
TARDI","659.000  @  KM
659.000  @  KM",,1.0000,251.97,251.97,
20,"2025-09-01
15:01",AIC2 027,VTANI,B788,"VABB  @  Origin
EDDF  @  Destination",,"0
0",228.0000  @ TON,"2025-09-01  08:21  @  Entry
2025-09-01  06:30  @  Exit",,1.7100,PARAR MENSA,"726.000  @  KM
726.000  @  KM",,1.0000,389.07,389.07,
20,"2025-09-01
16:18",AIC1 55,VTALP,B77W,"VIDP  @  Origin
EHAM  @  Destination",,"0
0","352.0000  @
TON","2025-09-01  09:19  @  Entry
2025-09-01  06:50  @  Exit",,1.9500,RASKI MENSA,"774.000  @  KM
774.000  @  KM",,1.0000,473.01,473.01,
20,"2025-09-01
16:21","AIC9
91",VTEXM,A20N,"VIDP  @  Origin
OEJN  @  Destination",,"0
0","77.0000  @
TON","2025-09-01  13:39  @  Entry
2025-09-01  11:10  @  Exit",,1.2200,"RASKI
LUDID","878.000  @  KM
878.000  @  KM",,1.0000,335.70,335.70,
20,"2025-09-01
16:23",AIC9 05,VTTQF,A20N,"VOMM  @  Origin
OMDB  @  Destination",,"0
0","77.0000  @
TON","2025-09-01  15:24  @  Entry
2025-09-01  13:05  @  Exit",,1.2200,TOTOX TARDI,"698.000  @  KM
698.000  @  KM",,1.0000,266.88,266.88,
20,"2025-09-01
16:37",AIC9 69,VTPPO,A321,"VABB  @  Origin
OTHH  @  Destination",,"0
0",89.0000  @ TON,"2025-09-01  15:17  @  Entry
2025-09-01  13:05  @  Exit",,1.2200,PARAR MENSA,"726.000  @  KM
726.000  @  KM",,1.0000,277.58,277.58,
20,"2025-09-01
16:49",AIC1 43,VTANR,B788,"LFPG  @  Destination
VIDP  @  Origin",,"0
0","228.0000  @
TON","2025-09-01  07:30  @  Exit
2025-09-01  09:44  @  Entry",,1.7100,MENSA RASKI,"774.000  @  KM
774.000  @  KM",,1.0000,414.80,414.80,
20,"2025-09-01
17:09","AIC1
51",VTANZ,B788,"LSZH  @  Destination
VIDP  @  Origin",,"0
0","228.0000  @
TON","2025-09-01  08:30  @  Exit
2025-09-01  10:42  @  Entry",,1.7100,"MENSA
RASKI","774.000  @  KM
774.000  @  KM",,1.0000,414.80,414.80,
20,"2025-09-01
17:29","AIC2
017",VTTSH,B789,"EGLL  @  Destination
VIDP  @  Origin",,"0
0","255.0000  @
TON","2025-09-01  08:00  @  Exit
2025-09-01  10:17  @  Entry",,1.7100,"MENSA
RASKI","774.000  @  KM
774.000  @  KM",,1.0000,414.80,414.80,
20,"2025-09-01
17:33",AIC2 289,VTEXJ,A20N,"OTHH  @  Destination
VABB  @  Origin",,"0
0","77.0000  @
TON","2025-09-01  14:35  @  Exit
2025-09-01  16:16  @  Entry",,1.2200,MENSA PARAR,"726.000  @  KM
726.000  @  KM",,1.0000,277.58,277.58,
